,0
adult tdt negative acute lymphoblastic leukemia,0
adult tdt positive acute lymphoblastic leukemia,0
adult teratoma,0
adult type ovarian granulosa cell tumor,0
adult type testicular granulosa cell tumor,0
adult undifferentiated high grade pleomorphic sarcoma of bone,0
adult undifferentiated pleomorphic sarcoma,0
adult unfavorable prognosis hodgkin lymphoma,0
adult vaginal botryoid-type embryonal rhabdomyosarcoma,0
adult xanthogranuloma,0
adult yolk sac tumor,0
advanced adenocarcinoma,0
advanced adenocarcinoma of unknown primary,0
advanced adenoid cystic carcinoma,0
advanced adrenal gland pheochromocytoma,0
advanced adult hepatocellular carcinoma,0
advanced alveolar soft part sarcoma,17398
advanced ampulla of vater carcinoma,0
advanced anal canal squamous cell carcinoma,0
advanced anal carcinoma,0
advanced anaplastic large cell lymphoma,0
advanced angiosarcoma,0
advanced appendix adenocarcinoma,0
advanced b-cell malignant neoplasm,17398
advanced basal cell carcinoma,0
advanced bile duct carcinoma,0
advanced biliary tract carcinoma,0
advanced bladder carcinoma,0
advanced bladder urothelial carcinoma,0
advanced bone sarcoma,0
advanced breast adenocarcinoma,0
advanced breast carcinoma,0
advanced bronchogenic carcinoma,0
advanced carcinoid tumor,0
advanced carcinoma,0
advanced carcinoma of unknown primary,0
advanced carcinosarcoma,0
advanced cervical adenocarcinoma,0
advanced cervical adenosquamous carcinoma,0
advanced cervical carcinoma,0
advanced cervical squamous cell carcinoma,0
advanced childhood malignant brain neoplasm,17398
advanced childhood malignant solid neoplasm,17398
advanced cholangiocarcinoma,0
advanced chordoma,0
advanced chromophobe renal cell carcinoma,0
advanced clear cell renal cell carcinoma,0
advanced clear cell sarcoma of soft tissue,0
advanced colon adenocarcinoma,0
advanced colon carcinoma,0
advanced colorectal adenocarcinoma,0
advanced colorectal carcinoma,0
advanced cutaneous melanoma,0
advanced cutaneous melanoma of the extremity,0
advanced cutaneous squamous cell carcinoma of the head and neck,0
advanced dedifferentiated liposarcoma,0
advanced differentiated thyroid gland carcinoma,0
advanced diffuse large b-cell lymphoma,0
advanced digestive system carcinoma,0
advanced digestive system neuroendocrine neoplasm,0
advanced digestive system neuroendocrine tumor g1,0
advanced distal bile duct adenocarcinoma,0
advanced endometrial adenocarcinoma,0
advanced endometrial carcinoma,0
advanced endometrial endometrioid adenocarcinoma,0
advanced endometrial serous adenocarcinoma,0
advanced endometrioid adenocarcinoma,0
advanced epithelioid hemangioendothelioma,0
advanced epithelioid mesothelioma,0
advanced epithelioid sarcoma,0
advanced esophageal adenocarcinoma,0
advanced esophageal carcinoma,0
advanced esophageal squamous cell carcinoma,0
advanced extracranial malignant solid neoplasm,0
advanced extrahepatic bile duct carcinoma,0
advanced fallopian tube carcinoma,0
advanced favorable hodgkin lymphoma,0
advanced favorable non-hodgkin lymphoma,0
advanced fibrolamellar carcinoma,0
advanced fibrosarcoma,0
advanced follicular lymphoma,0
advanced gallbladder carcinoma,0
advanced gastric adenocarcinoma,0
advanced gastric carcinoma,0
advanced gastric large cell neuroendocrine carcinoma,0
advanced gastric neuroendocrine carcinoma,0
advanced gastric small cell neuroendocrine carcinoma,0
advanced gastroesophageal junction adenocarcinoma,0
advanced gastrointestinal stromal tumor,0
advanced genitourinary system carcinoma,0
advanced glioblastoma,0
advanced her2-low breast carcinoma,0
advanced her2-negative breast carcinoma,0
advanced her2-positive breast carcinoma,0
advanced head and neck carcinoma,0
advanced head and neck squamous cell carcinoma,0
advanced hepatocellular carcinoma,0
advanced hilar cholangiocarcinoma,0
advanced hodgkin lymphoma,0
advanced hormone receptor-positive breast carcinoma,17398
advanced hypopharyngeal squamous cell carcinoma,0
advanced intrahepatic cholangiocarcinoma,0
advanced kaposi sarcoma,0
advanced kidney carcinoma,0
advanced kidney medullary carcinoma,0
advanced large cell neuroendocrine carcinoma,0
advanced laryngeal squamous cell carcinoma,0
advanced leiomyosarcoma,0
advanced liposarcoma,0
advanced lung adenocarcinoma,0
advanced lung adenosquamous carcinoma,0
advanced lung carcinoid tumor,0
advanced lung carcinoma,0
advanced lung large cell neuroendocrine carcinoma,17398
advanced lung neuroendocrine neoplasm,0
advanced lung non-small cell carcinoma,0
advanced lung non-small cell squamous carcinoma,0
advanced lung non-squamous non-small cell carcinoma,0
advanced lung small cell carcinoma,0
advanced lung squamous cell carcinoma,0
advanced lymphoma,0
advanced malignant abdominal neoplasm,0
advanced malignant digestive system neoplasm,0
advanced malignant female reproductive system neoplasm,0
advanced malignant genitourinary system neoplasm,0
advanced malignant germ cell tumor,0
advanced malignant head and neck neoplasm,0
advanced malignant mesothelioma,0
advanced malignant mixed mesodermal (mullerian) tumor,0
advanced malignant neoplasm,0
advanced malignant pecoma,0
advanced malignant peripheral nerve sheath tumor,0
advanced malignant skin neoplasm,0
advanced malignant small intestinal neoplasm,0
advanced malignant solid neoplasm,0
advanced malignant testicular germ cell tumor,17398
advanced malignant thoracic neoplasm,0
advanced malignant thymoma,0
advanced marginal zone lymphoma,0
advanced melanoma,0
advanced merkel cell carcinoma,0
advanced microsatellite stable colorectal carcinoma,0
advanced microsatellite stable endometrial carcinoma,0
advanced microsatellite stable ovarian carcinoma,0
advanced mucosal melanoma,0
advanced myxofibrosarcoma,0
advanced myxoid liposarcoma,0
advanced nut carcinoma,0
advanced nasopharyngeal carcinoma,0
advanced nasopharyngeal squamous cell carcinoma,0
advanced neuroendocrine carcinoma,0
advanced neuroendocrine neoplasm,0
advanced neuroendocrine tumor,17398
advanced non-cutaneous melanoma,0
advanced non-functioning neuroendocrine tumor,17398
advanced non-hodgkin lymphoma,0
advanced oral cavity squamous cell carcinoma,0
advanced oropharyngeal carcinoma,0
advanced oropharyngeal squamous cell carcinoma,0
advanced ovarian carcinoma,0
advanced ovarian carcinosarcoma,0
advanced ovarian clear cell adenocarcinoma,0
advanced ovarian endometrioid adenocarcinoma,0
advanced ovarian serous adenocarcinoma,0
advanced ovarian serous cystadenocarcinoma,17398
advanced pancreatic adenocarcinoma,0
advanced pancreatic carcinoma,0
advanced pancreatic ductal adenocarcinoma,0
advanced pancreatic neuroendocrine neoplasm,0
advanced pancreatic neuroendocrine tumor,0
advanced pancreatobiliary carcinoma,0
advanced papillary renal cell carcinoma,0
advanced paraganglioma,0
advanced penile carcinoma,0
advanced pericardial malignant mesothelioma,0
advanced peritoneal malignant mesothelioma,0
advanced pharyngeal carcinoma,0
advanced pharyngeal squamous cell carcinoma,0
advanced platinum-resistant malignant germ cell tumor,0
advanced pleomorphic liposarcoma,0
advanced pleural malignant mesothelioma,0
advanced primary cutaneous t-cell non-hodgkin lymphoma,0
advanced primary malignant brain neoplasm,0
advanced primary malignant central nervous system neoplasm,0
advanced primary peritoneal carcinoma,0
advanced prostate adenocarcinoma,0
advanced prostate adenocarcinoma with neuroendocrine differentiation,17398
advanced prostate carcinoma,0
advanced rectal adenocarcinoma,0
advanced rectal carcinoma,0
advanced rectal squamous cell carcinoma,0
advanced renal cell carcinoma,0
advanced renal pelvis carcinoma,0
advanced renal pelvis urothelial carcinoma,0
advanced renal pelvis and ureter urothelial carcinoma,0
advanced rhabdoid tumor,0
advanced round cell liposarcoma,0
advanced salivary gland carcinoma,0
advanced sarcoma,0
advanced sarcoma of the extremity,0
advanced sarcomatoid renal cell carcinoma,0
advanced skin squamous cell carcinoma,0
advanced small intestinal large cell neuroendocrine carcinoma,0
advanced small intestinal neuroendocrine carcinoma,0
advanced small intestinal small cell neuroendocrine carcinoma,0
advanced soft tissue leiomyosarcoma,0
advanced soft tissue sarcoma,0
advanced squamous cell carcinoma,0
advanced synovial sarcoma,0
advanced thymic carcinoma,0
advanced thymic neuroendocrine neoplasm,0
advanced thyroid gland anaplastic carcinoma,0
advanced thyroid gland carcinoma,0
advanced thyroid gland medullary carcinoma,0
advanced transformed non-hodgkin lymphoma,0
advanced transitional cell carcinoma,0
advanced triple-negative breast carcinoma,0
advanced unclassified renal cell carcinoma,0
advanced undifferentiated pleomorphic sarcoma,0
advanced unfavorable hodgkin lymphoma,0
advanced unfavorable non-hodgkin lymphoma,0
advanced unresectable gastric adenocarcinoma,0
advanced ureter urothelial carcinoma,0
advanced urethral urothelial carcinoma,0
advanced urothelial carcinoma,0
advanced uterine corpus cancer,0
advanced uterine corpus carcinosarcoma,0
advanced uveal melanoma,0
advanced vaginal adenocarcinoma,0
advanced vaginal adenosquamous carcinoma,0
advanced vaginal carcinoma,0
advanced vaginal squamous cell carcinoma,0
advanced vulvar carcinoma,0
aflatoxins-related hepatocellular carcinoma,0
aggravated malignant neoplasm,0
aggressive nk-cell leukemia,0
aggressive osteoblastoma,0
aggressive papillary tumor,0
aggressive prostate adenocarcinoma,0
aggressive systemic mastocytosis,0
aggressive systemic mastocytosis associated with germ cell tumor,17398
aggressive variant prostate carcinoma,0
airway infantile hemangioma,0
alcohol-related carcinoma,0
alcohol-related esophageal squamous cell carcinoma,0
alcohol-related hepatocellular carcinoma,0
alcohol-related laryngeal carcinoma,0
aldosterone-producing adrenal cortical adenoma,0
aleukemic acute lymphoblastic leukemia,0
aleukemic acute lymphoblastic leukemia cutis,0
aleukemic chronic lymphocytic leukemia,0
aleukemic leukemia,0
aleukemic leukemia cutis,0
aleukemic lymphoid leukemia,0
aleukemic monocytic leukemia cutis,0
alkylating agent-related acute myeloid leukemia,0
alkylating agent-related acute myeloid leukemia and myelodysplastic syndrome,0
alkylating agent-related myelodysplastic syndrome,0
alpha heavy chain disease,0
alveolar adenoma,0
alveolar rhabdomyosarcoma,0
alveolar ridge squamous cell carcinoma,0
alveolar soft part sarcoma,0
amelanotic cutaneous melanoma,0
amelanotic melanoma,0
ameloblastic carcinoma,0
ameloblastic carcinoma derived from odontogenic cyst,0
ameloblastic carcinoma-primary type,0
ameloblastic carcinoma-secondary type (dedifferentiated),0
"ameloblastic carcinoma-secondary type (dedifferentiated), intraosseous",0
"ameloblastic carcinoma-secondary type (dedifferentiated), peripheral",0
ameloblastic fibro-odontoma,0
ameloblastic fibrodentinoma,0
ameloblastic fibrodentinosarcoma,0
ameloblastic fibroma,0
ameloblastic fibroodontosarcoma,0
ameloblastic fibrosarcoma,0
ameloblastoma,0
ampulla of vater adenocarcinoma,0
"ampulla of vater adenoma, intestinal-type",0
ampulla of vater adenosquamous carcinoma,0
ampulla of vater carcinoma,0
ampulla of vater clear cell adenocarcinoma,0
ampulla of vater enterochromaffin cell serotonin-producing neuroendocrine tumor,0
ampulla of vater gangliocytic paraganglioma,0
ampulla of vater hepatoid adenocarcinoma,0
ampulla of vater intestinal-type adenocarcinoma,0
ampulla of vater invasive papillary adenocarcinoma,0
ampulla of vater large cell neuroendocrine carcinoma,0
ampulla of vater mixed adenoneuroendocrine carcinoma,0
ampulla of vater mucinous adenocarcinoma,0
ampulla of vater neoplasm,0
ampulla of vater neuroendocrine carcinoma,0
ampulla of vater neuroendocrine neoplasm,0
ampulla of vater neuroendocrine tumor,0
ampulla of vater neuroendocrine tumor g1,0
ampulla of vater neuroendocrine tumor g2,0
ampulla of vater neuroendocrine tumor g3,0
ampulla of vater pancreatobiliary type adenocarcinoma,0
ampulla of vater signet ring cell carcinoma,0
ampulla of vater small cell neuroendocrine carcinoma,0
ampulla of vater somatostatin-producing neuroendocrine tumor,0
ampulla of vater squamous cell carcinoma,0
ampulla of vater tubular adenoma,0
ampulla of vater tubulovillous adenoma,0
ampulla of vater undifferentiated carcinoma,0
ampulla of vater undifferentiated carcinoma with osteoclast-like giant cells,0
ampulla of vater villous adenoma,0
"ampullary flat intraepithelial neoplasia, high grade",0
ampullary noninvasive pancreatobiliary papillary neoplasm with high grade dysplasia,0
ampullary noninvasive pancreatobiliary papillary neoplasm with low grade dysplasia,0
"ampullary noninvasive papillary neoplasm, pancreatobiliary type",0
anal adenocarcinoma,0
anal adenocarcinoma within anorectal fistula,0
anal basaloid carcinoma,0
anal canal adenocarcinoma,0
anal canal carcinoma,0
anal canal cloacogenic carcinoma,0
anal canal intraepithelial neoplasia,0
anal canal large cell neuroendocrine carcinoma,0
anal canal mixed adenoneuroendocrine carcinoma,0
anal canal neuroendocrine carcinoma,0
anal canal neuroendocrine neoplasm,0
anal canal neuroendocrine tumor,0
anal canal neuroendocrine tumor g1,0
anal canal neuroendocrine tumor g2,0
anal canal paget disease,0
anal canal small cell neuroendocrine carcinoma,0
anal canal squamous cell carcinoma,0
anal canal squamous cell papilloma,0
anal canal undifferentiated carcinoma,0
anal carcinoma,0
anal condyloma acuminatum,0
anal extramucosal (perianal) adenocarcinoma,0
anal fibroadenoma,0
anal glands adenocarcinoma,0
anal hidradenoma papilliferum,0
anal intraepithelial neoplasia,0
anal intraepithelial neoplasia 2,0
anal intraepithelial neoplasia 3,0
anal kaposi sarcoma,0
anal leiomyoma,0
anal leiomyosarcoma,0
anal lymphoma,0
anal margin basal cell carcinoma,0
anal margin carcinoma,0
anal margin paget disease,0
anal margin squamous cell carcinoma,0
anal melanoma,0
anal mucinous adenocarcinoma,0
anal neoplasm,0
anal paget disease,0
anal rhabdomyosarcoma,0
anal sarcoma,0
anal squamous cell carcinoma,0
anal verrucous carcinoma,0
anaplastic (malignant) intracranial meningioma,0
anaplastic (malignant) intraspinal meningioma,0
anaplastic (malignant) meningioma,0
"anaplastic astroblastoma, mn1-altered",0
anaplastic astrocytoma,0
"anaplastic astrocytoma, idh-wildtype",0
"anaplastic astrocytoma, not otherwise specified",0
anaplastic brain stem astrocytoma,0
anaplastic brain stem glioma,0
anaplastic diencephalic astrocytoma,0
anaplastic embryonal rhabdomyosarcoma,0
anaplastic ependymoma,0
anaplastic ganglioglioma,0
anaplastic kidney wilms tumor,0
anaplastic large cell lymphoma,0
"anaplastic large cell lymphoma, alk-negative",0
"anaplastic large cell lymphoma, alk-positive",0
"anaplastic large cell lymphoma, giant cell rich subtype",0
"anaplastic large cell lymphoma, lymphomatoid papulosis-like histology",0
"anaplastic large cell lymphoma, sarcomatoid subtype",0
"anaplastic large cell lymphoma, signet ring-like subtype",0
anaplastic lymphoma post-transplant lymphoproliferative disorder,0
anaplastic malignant neoplasm,0
anaplastic medulloblastoma,0
anaplastic oligoastrocytoma,0
"anaplastic oligoastrocytoma, not otherwise specified",0
anaplastic oligodendroglioma,0
